run_id,timestamp,learning_rate,gamma,entropy_coef,mean_reward,std_reward,mean_episode_length,mean_final_fund,success_rate,mean_policy_entropy
1,2026-07-22T12:35:28,0.01,0.99,0.0,87.16700757472597,17.563039352743417,200.0,111501.86897418446,0.0,0.000468198218732141
2,2026-07-22T12:35:50,0.001,0.99,0.0,38.89545214692336,48.48616628516384,198.55,62246.939485006325,0.0,0.33464343249797823
3,2026-07-22T12:36:13,0.0001,0.99,0.0,87.16290868095271,17.561211096299424,200.0,111501.7714885372,0.0,1.770064914226532
4,2026-07-22T12:36:37,0.001,0.95,0.0,87.13017127317833,17.58386632158809,200.0,111549.24852778944,0.0,0.26912222653627393
5,2026-07-22T12:37:00,0.001,0.999,0.0,-65.29885994422384,50.3207684672296,115.3,25498.58887789849,0.05,1.1632157415151596
6,2026-07-22T12:37:23,0.001,0.99,0.01,60.537414245641045,32.02500336509164,200.0,79232.24629173442,0.0,1.4831962525844573
7,2026-07-22T12:37:45,0.001,0.99,0.05,109.53292363385924,54.4820261529668,193.85,124388.98698296605,0.2,1.7290618658065795
8,2026-07-22T12:38:08,0.005,0.97,0.01,99.91488240379172,21.664727123901027,200.0,123078.42924392226,0.0,0.5716082945466041
9,2026-07-22T12:38:31,0.0005,0.99,0.02,89.74422392309836,18.525981720620933,200.0,113988.35855320713,0.0,1.6967120826244355
10,2026-07-22T12:38:54,0.001,0.9,0.01,59.039372887432705,66.62759106568004,186.55,75987.72739280897,0.05,0.47399239987134933
